,Sentences,Epoch: 1 (ckpt: 831),Epoch: 2 (ckpt: 1662),Epoch: 3 (ckpt: 2493),Epoch: 4 (ckpt: 3324),Epoch: 5 (ckpt: 4155),Epoch: 6 (ckpt: 4986),Epoch: 7 (ckpt: 5817),Epoch: 8 (ckpt: 6648),Epoch: 9 (ckpt: 7479)
11,"Очень заманчиво — когда это понимаешь — очень заманчиво продолжать писать одни и теже стихи, или рассказывать одну и ту же историю, снова и снова, когда понимаешь, что это принесет аплодисменты.",994.1526489257812,639.8224487304688,563.328125,564.3812866210938,450.239990234375,309.67095947265625,285.5357971191406,287.3826904296875,253.81878662109375
12,Дoбавить в избраннoе,7112.9326171875,15023.2509765625,12909.4072265625,15829.71875,28931.57421875,23610.359375,20472.091796875,42861.140625,42933.6796875
13,"У нас же у всех есть руки и ноги, или я что-то пропустил?",231.16702270507812,137.64353942871094,125.8907470703125,120.41999816894531,72.47486114501953,81.34107208251953,82.60657501220703,57.91169738769531,73.47583770751953
14,Диджитал. Завершено,6566.634765625,6107.53466796875,6514.9365234375,3679.258056640625,8667.5859375,8058.60986328125,6421.9375,6692.75341796875,6269.41162109375
15,Откуда вы знаете?,475.92413330078125,436.84332275390625,332.71295166015625,160.13687133789062,173.09449768066406,194.95132446289062,257.621337890625,308.9660949707031,195.74440002441406
16,"И если вы когда-либо были на совещании, где вам отводилась роль статиста, этакой ""наседки"", вы можете увидеть человека, который ждёт, пока все отвернутся, и потом быстро проверяет, нет ли новых сообщений.",805.5919799804688,410.283203125,272.4752502441406,286.90484619140625,221.3983154296875,218.09860229492188,223.4658203125,183.93975830078125,187.52139282226562
17,Ты уверен?,1715.887451171875,976.8775024414062,1554.343017578125,1127.4248046875,541.9644165039062,640.128173828125,727.36572265625,635.7221069335938,677.543701171875
18,"Он сказал им: кто разведется с женою своею и женится на другой, тот прелюбодействует от нее;",1250.255859375,389.1353759765625,189.60195922851562,229.40176391601562,208.281005859375,174.70057678222656,188.6549530029297,179.65838623046875,150.38645935058594
19,"В последние несколько лет я заинтересовался наукой мотивации человека, в особенности динамикой внешних стимулов и стимулов внутренних.",3808.1318359375,1486.2413330078125,762.1905517578125,888.6647338867188,1038.7259521484375,987.5936279296875,725.7730102539062,569.9869384765625,590.6077880859375
20,"Пару недель назад, Я говорил на Campus Outreach Национальной конференции об ответственности каждого верующего евангелизации. Мой текст был 2 Кор 5:18-21. Вот видео из этой сессии.",2949.031494140625,1956.89990234375,1169.184326171875,1203.3028564453125,842.0415649414062,782.801025390625,927.357177734375,703.5422973632812,657.0834350585938
21,А зачем мне?,1068.520751953125,803.7855224609375,478.9670715332031,660.12158203125,304.27960205078125,449.0965270996094,510.6012878417969,366.0702819824219,631.2478637695312
22,"И если хотите принять, он есть Илия, которому должно придти.",956.3887329101562,669.6753540039062,709.736083984375,797.5471801757812,607.8037719726562,702.3778076171875,513.225830078125,607.880859375,552.5438232421875
23,В смысле?,1325.8612060546875,1173.1875,846.9583740234375,1216.154296875,809.1218872070312,1015.0757446289062,503.8012390136719,846.4799194335938,743.5577392578125
24,- Что это значит?,662.1619262695312,240.92440795898438,95.19503021240234,101.9200668334961,90.1318130493164,95.93364715576172,107.93843078613281,100.05342102050781,115.03691864013672
25,Отпусти их.,1396.306396484375,1083.7205810546875,552.625,824.728759765625,602.5015258789062,501.84783935546875,447.541748046875,284.8277282714844,440.47088623046875
26,Несколько лет назад я проводил свои собственные эксперименты в лаборатории.,980.1730346679688,742.4172973632812,368.3052978515625,252.20590209960938,190.07774353027344,214.63949584960938,213.10671997070312,209.0439453125,183.41371154785156
27,"Когда мы думаем о том как улучшить мир, в котором живем, первая мысль, которая нам приходит - образование. Вот куда мы вкладываем огромные деньги.",589.495849609375,395.37213134765625,224.8618927001953,163.75120544433594,148.6883544921875,126.30472564697266,131.2411651611328,118.42395782470703,109.07062530517578
28,Следить за нами в Твиттере,1417.6019287109375,1173.2779541015625,1408.3096923828125,1535.6484375,1671.95849609375,1769.459228515625,2498.224609375,1275.4093017578125,1656.711669921875
29,5 Лучшие бары с живой музыкой в ​​Европе,2321.034423828125,2140.634521484375,2123.260986328125,1012.6300048828125,1374.5596923828125,474.1048583984375,408.0025634765625,261.2298278808594,273.5824890136719
30,"Мы прибыли на стрельбище Калвертон, за которым скрытно наблюдало ФБР.",3625.509765625,3524.46630859375,2171.025146484375,1909.313720703125,1621.52197265625,943.1861572265625,869.1027221679688,1011.6985473632812,963.2363891601562
31,"При сем и Иуда, предающий Его, сказал: не я ли, Равви? Иисус говорит ему: ты сказал.",658.3634033203125,274.80328369140625,377.9437255859375,252.15586853027344,194.81890869140625,158.28102111816406,193.06248474121094,190.3096466064453,198.4492950439453
32,Ни один человек десяти лет не собирается в юридический колледж чтобы заниматься слияниями и поглощениями.,2416.70703125,1686.5655517578125,1551.2799072265625,1232.6591796875,675.9129028320312,863.779296875,736.0926513671875,548.50830078125,604.0986328125
33,"И просили Его все бесы, говоря: пошли нас в свиней, чтобы нам войти в них.",414.29290771484375,368.81549072265625,442.9277648925781,417.77386474609375,423.8377685546875,484.5214538574219,310.9937438964844,392.551513671875,420.40008544921875
34,"Напротив, горе вам, богатые! ибо вы уже получили свое утешение.",1810.1566162109375,1285.2696533203125,894.2162475585938,655.84423828125,393.5765380859375,467.6371765136719,362.7567443847656,477.6116638183594,418.0845031738281
35,"Кто ест, не уничижай того, кто не ест; и кто не ест, не осуждай того, кто ест, потому что Бог принял его.",331.15472412109375,202.21644592285156,117.83773803710938,93.08717346191406,95.72843170166016,88.61601257324219,58.55792236328125,59.4164924621582,59.9013786315918
36,"Не могу знать, сэр.",194.88235473632812,141.94052124023438,145.81495666503906,126.41643524169922,111.26827239990234,132.13157653808594,165.7783203125,120.02090454101562,142.40911865234375
37,"то есть что Христос имел пострадать и, восстав первый из мертвых, возвестить свет народу(Иудейскому) и язычникам.",3996.95556640625,2518.73583984375,3248.773681640625,2888.657958984375,2577.046142578125,2709.447509765625,2218.81201171875,2145.209228515625,2142.33056640625
38,"У меня есть три предложения, которыми я с вами поделюсь. У меня осталось три минуты, и этого как раз хватит.",250.8354034423828,200.59130859375,157.4623565673828,124.38385009765625,102.60517883300781,92.5166015625,98.72160339355469,84.90913391113281,91.7715072631836
39,Начало / Feestavond 2012 [115],4188.2060546875,6795.310546875,5719.40966796875,6029.03857421875,5363.34033203125,5164.11962890625,3706.283447265625,4571.3662109375,4262.15673828125
40,Я грешник.,1670.4635009765625,957.666015625,526.4775390625,505.0775146484375,622.5337524414062,526.3068237304688,941.4238891601562,647.4876098632812,761.9151611328125
41,"Хвалишься законом, а преступлением закона бесчестишьБога?",8685.3935546875,10972.58203125,11121.0087890625,9918.197265625,8122.65087890625,9999.0478515625,7021.4951171875,7442.9453125,6139.302734375
42,"А внешний двор храма исключи и неизмеряй его, ибо он дан язычникам: они будут попирать святый город сорок два месяца.",2569.00048828125,1449.8035888671875,1379.04833984375,711.1942138671875,856.4599609375,619.7791748046875,602.7181396484375,407.0357971191406,418.3543395996094
43,- Жизнь продолжается.,2243.787109375,2779.25537109375,2380.688720703125,1880.5220947265625,2302.759033203125,2728.783203125,2165.93994140625,2232.217041015625,2049.517333984375
44,Уйдем отсюда?,21617.58203125,14925.5439453125,12095.15625,34945.40234375,27438.84765625,21456.919921875,51660.2890625,36770.01171875,27462.671875
45,"и, сидя, стерегли Его там;",744.010986328125,611.760498046875,606.4584350585938,455.0522766113281,590.583251953125,826.5601806640625,432.0797424316406,572.3092041015625,569.9364013671875
46,"Но канцлер сказал одну правду, если только одну.",2052.151611328125,1377.9736328125,972.41455078125,787.3704223632812,824.2868041992188,636.3729858398438,607.5244140625,493.3614196777344,533.2359619140625
47,"span style=”color: #ff0000;”>Если вы используете операционную систему Windows XP, НАЖМИТЕ ЗДЕСЬ для получения версии RescuePRO® Standard, совместимой с Windows XP, или НАЖМИТЕ ЗДЕСЬ для получения версииRescuePRO® Deluxe, совместимой с Windows XP.",2639.458984375,1682.6302490234375,842.8333129882812,536.1151123046875,344.2958068847656,325.41192626953125,269.4871826171875,253.11514282226562,204.3707733154297
48,Почему? Потому что иначе у них и всего сообщества случилась бы катастрофа.,978.1145629882812,674.9974975585938,396.38751220703125,425.9381408691406,351.5506286621094,306.1009826660156,256.8545837402344,292.8648681640625,280.8025817871094
49,"AESUK еще не началась, и не было никакого намерения или желания начать, любые арбитражные разбирательства. Его позиция в том, что АО не должна преследовать или свободно проводить судебные разбирательства против него - она ​​должна принести арбитражные procedings, AESUK будет защищать эти дела.",1541.4295654296875,986.004638671875,893.188720703125,799.9038696289062,740.7644653320312,597.1210327148438,577.5916748046875,563.0107421875,583.2615356445312
50,На это стоит надеяться. Спасибо большое.,1601.7587890625,566.3938598632812,499.4681701660156,278.9849548339844,261.4563903808594,299.19842529296875,372.2326354980469,297.95013427734375,298.37237548828125
51,Пять лет назад я выехал на место мотоциклетной аварии.,1785.2099609375,1274.507080078125,577.035888671875,458.808349609375,349.7037048339844,288.6435546875,289.85064697265625,256.15032958984375,297.2192077636719
52,"(Смех) И опять получаю... это же просто... и я, я...",486.0823059082031,327.71795654296875,191.7197723388672,148.43934631347656,166.70640563964844,155.36419677734375,148.1956329345703,133.8827667236328,146.4556884765625
53,"«Малышка, — скажу я ей, — помни, твоя мама — воин, и твой папа — воин, а ты — девочка с маленькими руками и большими глазами, которая всегда просит большего».",888.6876831054688,646.0975952148438,371.0049743652344,418.06500244140625,302.3153381347656,294.90777587890625,217.07943725585938,201.16102600097656,211.20765686035156
54,"и pictures.with высокого качества HD images.we Сбор изображений для наших пространственно сладких посетителей, как вы.",3498.216064453125,1764.383056640625,2189.241455078125,1239.8787841796875,1381.923583984375,1113.416259765625,1268.913818359375,1111.0826416015625,1205.662841796875
55,"Ибо закон поставляет первосвященниками человеков, имеющих немощи; а слово клятвенное, после закона, поставило Сына, на веки совершенного.",2571.615966796875,1806.452392578125,976.2357788085938,1014.5560302734375,907.9122314453125,1003.83935546875,1081.1650390625,1220.5694580078125,1285.669921875
56,"Ваш новый партнер по бизнесу может жать вам руку, поздравлять вас, ужинать с вами, и обнаружить вдруг признаки гнева.",2306.007080078125,1227.9921875,767.2438354492188,899.3008422851562,731.8728637695312,616.45068359375,694.3541259765625,593.55615234375,493.6258850097656
57,"Вы слышали, что он сказал.",146.69822692871094,80.99522399902344,55.95987319946289,53.88958740234375,42.79259490966797,63.74027633666992,58.73527526855469,59.53696823120117,62.93915939331055
58,"И на том месте, где сказано им: вы не Мой народ, там названы будут сынами Богаживаго.",1191.9000244140625,763.8619995117188,761.4658813476562,576.1365356445312,407.99322509765625,440.7289123535156,310.7233581542969,350.9577331542969,350.270263671875
59,"«Ясно, но вы собираетесь посвятить этому всё время после выпуска?»",1600.2105712890625,1103.4337158203125,870.7395629882812,763.5722045898438,326.9037170410156,322.941162109375,272.5195617675781,287.8415832519531,248.23388671875
60,"И, переправившись, прибыли в землю Геннисаретскую.",1399.0755615234375,1658.818359375,1826.4403076171875,1338.2857666015625,1207.858642578125,1214.817626953125,1415.4925537109375,1381.818115234375,1618.006103515625
61,- Это нам нужно!,940.2081298828125,847.9601440429688,623.5396728515625,643.1421508789062,878.44091796875,780.0381469726562,864.408447265625,911.4061279296875,997.247314453125
62,$55.000 И это удивительно дёшево.,3439.408935546875,2546.052734375,1057.947021484375,1112.001708984375,961.0869140625,815.1910400390625,775.8031005859375,870.5494384765625,871.1182861328125
63,Он вернется?,5322.58203125,1852.466796875,1821.23876953125,4372.2490234375,3746.383056640625,2649.3271484375,3028.906494140625,2489.99365234375,2479.855712890625
64,"Итак, я говорю, что всё дело в предпринимательстве.",230.90065002441406,136.44091796875,90.13847351074219,75.88654327392578,93.31008911132812,83.6501235961914,66.21751403808594,61.15901184082031,59.09661102294922
65,"И мир проходит, и похоть его, а исполняющий волю Божию пребывает вовек.",2215.12890625,1176.89892578125,903.013427734375,539.7017211914062,592.8193359375,586.8922119140625,540.3889770507812,328.4841003417969,401.86956787109375
66,"Ангел, войдя к Ней, сказал: радуйся, Благодатная! Господь с Тобою; благословенна Ты между женами.",836.1602783203125,537.7642211914062,235.42645263671875,289.314208984375,249.74253845214844,186.13299560546875,135.215576171875,142.00645446777344,115.03483581542969
67,"Иисус сказал ему: ныне пришло спасение дому сему, потому что и он сын Авраама,",802.8034057617188,269.9625549316406,267.98370361328125,222.16079711914062,181.65892028808594,238.666259765625,217.8928985595703,254.6206817626953,210.29689025878906
68,- Хорошо.,1582.39208984375,1101.8076171875,1724.2156982421875,2291.4560546875,2250.695556640625,3074.909423828125,4237.68017578125,3362.203369140625,5868.26220703125
69,"Дети Божии и дети диавола узнаются так: всякий, не делающий правды, не есть от Бога, равно и не любящий брата своего.",1606.249267578125,884.897216796875,616.2722778320312,636.9339599609375,563.7064819335938,555.609130859375,509.4242248535156,503.52838134765625,426.903564453125
70,"Итак, быв провожены церковью, они проходили Финикию и Самарию, рассказывая об обращении язычников, и производили радость великую во всех братиях.",2654.21435546875,1777.50927734375,1797.9876708984375,1829.94580078125,2180.280029296875,1345.470703125,1526.2022705078125,1821.56884765625,1688.711669921875
71,"Тогда праведники скажут Ему в ответ: Господи! когда мы видели Тебя алчущим, и накормили? или жаждущим, и напоили?",929.520263671875,377.45458984375,422.51788330078125,374.4411315917969,299.78021240234375,331.8612976074219,291.6328430175781,324.8367614746094,290.2195129394531
72,"И я хочу сказать здесь, что, по-моему, это не правильная вершина пирамиды…",417.07061767578125,280.02532958984375,271.5869445800781,225.3679962158203,197.2764434814453,183.11703491210938,164.17063903808594,158.46981811523438,155.75177001953125
73,Что нам защищать?,2065.270751953125,2586.5517578125,1640.7352294921875,1336.3861083984375,1049.2060546875,776.1134643554688,1123.478759765625,1213.489013671875,1331.5823974609375
74,"Даже если я сделаю это медленно, фишка окажется на плече.",1745.9698486328125,794.3574829101562,754.0619506835938,582.7327880859375,417.930419921875,450.0828857421875,396.5088806152344,399.73785400390625,354.5144348144531
75,"Урок был очевиден. Интернет полюбил китёнка Mister Splashy Pants,",4831.86328125,2914.885498046875,2415.3291015625,2908.440673828125,3036.333251953125,2214.981201171875,2254.361328125,1682.1409912109375,2120.92041015625
76,"И я был уверен, что это будет очень важно для демократии и для нашего общества.",194.28611755371094,90.59060668945312,62.902854919433594,49.540157318115234,50.474365234375,48.69844436645508,44.09491729736328,44.97039031982422,46.32279586791992
77,"и никто даже не догадался — все решили, что это деревянные сапоги.",628.0017700195312,519.6884765625,510.43939208984375,405.19671630859375,496.4838562011719,424.2174987792969,403.2209167480469,416.6383056640625,408.20648193359375
78,"Думаю, было бы интересно увидеть, что каждый мог бы сделать с подобным проектом.",390.1710510253906,178.98458862304688,121.53286743164062,141.9154052734375,80.73936462402344,69.82600402832031,74.68438720703125,66.72863006591797,61.38081741333008
79,Они же сказали Ему: где велишь нам приготовить?,2219.8798828125,1109.2996826171875,404.3223876953125,376.64678955078125,221.8525390625,422.11212158203125,514.2005615234375,286.4832458496094,275.8125305175781
80,"Петр вышел и следовал за ним, не зная, чтоделаемое Ангелом было действительно, а думая, что видит видение.",1310.7449951171875,1115.8206787109375,972.806884765625,733.5740356445312,749.1994018554688,785.4039916992188,970.0674438476562,783.216552734375,765.5043334960938
81,"По прошествии восьми дней, когда надлежало обрезать Младенца , дали Ему имя Иисус, нареченное Ангелом прежде зачатия Его во чреве.",3423.622314453125,1308.8114013671875,1051.6439208984375,651.1063232421875,558.59423828125,512.6104736328125,431.2315368652344,404.0273132324219,436.7531433105469
82,Извините?,26460.4609375,10369.9541015625,7102.9208984375,26415.27734375,21333.275390625,38972.88671875,38601.765625,53386.64453125,47071.46875
83,А неверующие Иудеи возбудили и раздражили против братьев сердца язычников.,3072.227294921875,2267.912109375,3694.232666015625,2541.250732421875,2348.472412109375,2289.544677734375,2300.21630859375,2601.205810546875,2598.47998046875
84,"она пряталась за экраном - и они засмеялись, обнялись и убежали.",1959.4947509765625,1193.02294921875,550.2957153320312,487.60333251953125,429.60113525390625,301.5196228027344,200.69749450683594,204.37759399414062,227.8526153564453
85,"Ещё он говорил о множестве замечательных вещей, который делает KIPP, таких как помощь в продвижении к высшему образованию детям из бедных районов.",1776.6744384765625,1173.7772216796875,787.7568359375,579.937744140625,490.92340087890625,454.90521240234375,438.4932556152344,475.2245178222656,449.55523681640625
86,"Ты, должно быть, шутишь.",189.8916778564453,179.2635498046875,164.77671813964844,93.97684478759766,84.86339569091797,52.75043869018555,45.79778289794922,52.18881607055664,44.68582534790039
87,"Перераспределение доходов приносит пользу для всех, не только для бедных людей, потому что весь этот избыточный выбор губит нас.",836.9640502929688,546.38232421875,313.155029296875,266.36358642578125,245.2720489501953,302.8472900390625,231.69088745117188,213.8832550048828,221.72952270507812
88,"Только в 2007 году -- а я уверен, что есть и более свежие цифры -- где-то порядка 1,3 миллиона страниц было переведено только на английский язык.",537.6388549804688,222.0638885498047,148.02902221679688,107.55972290039062,117.3157730102539,93.64358520507812,101.2143325805664,108.66431427001953,98.9782943725586
89,- Да что с тобой такое?,693.4429321289062,420.6842346191406,176.699462890625,205.39227294921875,94.99977111816406,159.95591735839844,120.88121795654297,113.01067352294922,131.64724731445312
90,"знаю твои дела; вот, Я отворил перед тобою дверь, и никто не может затворить ее; ты не много имеешь силы, и сохранил слово Мое, и не отрекся имени Моего.",503.6220397949219,282.07440185546875,146.8708953857422,148.17916870117188,113.13215637207031,103.4498291015625,107.87792205810547,108.71163177490234,108.26142120361328
91,"Они будут смотреть телевизор. Или заниматься какими-то другими вещами.""",2009.7972412109375,747.787841796875,437.6261901855469,339.0907287597656,266.41680908203125,282.54852294921875,283.2109680175781,243.02760314941406,257.5374450683594
92,"Тот кудрявый парень, Вы его знаете.",2132.37646484375,1922.81640625,762.89892578125,468.9644470214844,610.667236328125,478.4897155761719,592.7720947265625,611.937255859375,505.3846435546875
93,"- Спасибо, сэр.",389.93035888671875,177.63389587402344,232.25146484375,164.95541381835938,188.62689208984375,212.93087768554688,241.26736450195312,239.62814331054688,267.03009033203125
94,В уничижении Его суд Его совершился. Но род Его кто разъяснит? ибо вземлется от земли жизнь Его.,1528.460693359375,981.4330444335938,961.3688354492188,855.1529541015625,899.832763671875,566.2085571289062,626.0980834960938,573.2708740234375,579.781494140625
95,"Это нормальная семья, ребята.",500.60052490234375,882.1868896484375,398.605712890625,368.9875183105469,688.0763549804688,428.5188293457031,719.4904174804688,834.9733276367188,750.5120239257812
96,Be My Guest - Learn Russian Online: Вход в системата,7723.5927734375,5225.955078125,4809.65283203125,3480.287109375,3250.18994140625,3270.44384765625,2509.20361328125,2574.330810546875,2556.64404296875
97,"Прежде чем начать, я бы хотела уточнить для вас свою цель, которая заключается не в том, чтобы учить вас игре в «кошки-мышки».",676.1082153320312,419.89862060546875,378.0875549316406,378.29132080078125,210.1241912841797,148.64234924316406,171.98110961914062,187.04263305664062,161.72555541992188
98,"И увидел я одного Ангела, стоящего на солнце; и он воскликнул громким голосом, говоря всем птицам, летающим по средине неба: летите, собирайтесь навеликую вечерю Божию,",3745.83642578125,1459.1923828125,950.6652221679688,735.2188720703125,636.615478515625,593.9539184570312,464.4563903808594,437.26678466796875,414.09893798828125
99,"Что ж, Брюс Уэйн не может вломиться в дом Лекса Лютора.",1658.594482421875,784.4783935546875,599.9342651367188,633.5275268554688,370.52215576171875,436.8366394042969,314.1615905761719,301.7684631347656,232.7754364013672
100,"Поверьте, там были все стереотипы, которые можно себе представить: сидение на полу, скрестив ноги, ароматические палочки, травяной чай, вегетарианцы — полный набор. Вообще-то я пошёл туда за компанию с мамой.",731.9406127929688,581.945556640625,550.2639770507812,417.2795104980469,315.2423400878906,327.66595458984375,270.9677429199219,273.5165100097656,227.95565795898438
101,Но буквально на следующий день они ответили: «Можете начать через две недели?» (Смех),576.8554077148438,245.20701599121094,130.99220275878906,112.69780731201172,84.49543762207031,66.8694076538086,68.1424331665039,83.69269561767578,72.65652465820312
102,Я вмешивался в процесс со многими добрыми намерениями.,2512.433837890625,1105.701171875,709.034912109375,670.6416625976562,644.9805297851562,630.5477905273438,377.8865966796875,382.1113586425781,474.4230041503906
103,Перейти в конец страницы,8806.095703125,3993.1494140625,5971.20556640625,4531.6328125,3705.9052734375,7229.755859375,6357.5703125,6040.76806640625,6334.48095703125
104,"Фома же, один из двенадцати, называемый Близнец, небыл тут с ними, когда приходил Иисус.",1429.898681640625,845.6121826171875,698.1635131835938,917.1118774414062,771.673095703125,522.351806640625,687.8644409179688,567.8804321289062,520.472412109375
105,К вопросу о важности нахождения межъязыковых соответствий в контактирующих языках в работе переводчика.,6797.36474609375,5355.80126953125,3329.23095703125,3130.933837890625,2282.353759765625,3109.328369140625,3183.65283203125,2369.574951171875,1890.53515625
106,Я тебе не верю.,323.4683837890625,136.7083740234375,175.46881103515625,69.14231872558594,85.0898208618164,64.40696716308594,50.81425094604492,66.40545654296875,63.36643600463867
107,Он что-нибудь сказал?,602.7589721679688,137.72732543945312,98.33306121826172,167.0713653564453,74.01617431640625,98.0522232055664,119.10114288330078,64.74060821533203,77.24406433105469
108,Мы теряем способность слушать.,1678.208740234375,2359.559326171875,1163.771728515625,1846.3421630859375,2643.42431640625,1190.9779052734375,1820.2109375,2118.072509765625,1815.4979248046875
109,Пытаюсь.,1709.8116455078125,841.1474609375,1100.9725341796875,1383.399169921875,669.255859375,842.9486083984375,1084.4437255859375,1244.7801513671875,1506.2049560546875
110,Вы готовы?,2089.599365234375,1298.4644775390625,457.64093017578125,859.5103759765625,929.9946899414062,368.65899658203125,462.9173278808594,533.9002685546875,624.363525390625
111,Я тоже. Это не мое дело.,167.4314422607422,102.68804931640625,65.20135498046875,59.15353012084961,50.24161148071289,48.52935028076172,51.240936279296875,49.79767608642578,48.86682891845703
112,Каждый ряд — это ученик.,2332.498779296875,3318.7666015625,1370.0250244140625,840.2150268554688,1042.6358642578125,590.6917114257812,804.3575439453125,807.1677856445312,585.3073120117188
113,"ибо каким судом судите, таким будете судимы; и какою мерою мерите, такою и вам будутмерить.",4086.347412109375,2745.597900390625,1423.5853271484375,1439.1187744140625,1284.8970947265625,1045.2078857421875,1023.5948486328125,1015.4940795898438,961.2950439453125
114,"Итак воины, по данному им приказанию, взявПавла, повели ночью в Антипатриду.",2839.670166015625,1905.078369140625,1409.6339111328125,1593.1490478515625,1183.97705078125,1728.097412109375,1257.1390380859375,1343.87548828125,1491.620849609375
115,- Я не болен.,692.8922119140625,428.75,257.23980712890625,376.6239929199219,347.230224609375,495.6651916503906,409.0628662109375,424.3372497558594,512.86279296875
116,Исправлены проблемы с загрузкой больших файлов (включая обновление Google Play),3775.341552734375,2220.400634765625,1665.8675537109375,1616.42138671875,1070.493408203125,779.8242797851562,1066.04443359375,571.7742919921875,649.3372192382812
117,"и тогда увидят Сына Человеческого, грядущего на облаке с силою и славою великою.",4200.38232421875,1703.8662109375,626.76025390625,672.7029418945312,654.9051513671875,586.0910034179688,518.8073120117188,630.7047729492188,778.3853759765625
118,"Я не могла понять, почему у них был свет, а у нас не было.",71.91810607910156,56.3703498840332,33.871089935302734,37.665584564208984,28.88600730895996,38.31134033203125,33.00056076049805,30.338010787963867,34.36466598510742
119,"Посему сказано: „встань, спящий, и воскресни из мертвых, и осветит тебя Христос"".",979.8104248046875,553.4830932617188,346.50689697265625,388.1141052246094,246.9075927734375,240.68983459472656,212.71533203125,246.34873962402344,225.58453369140625
120,Вы идиот.,5862.2548828125,6125.05712890625,4365.69921875,3320.63427734375,3048.705810546875,2840.585693359375,3931.4326171875,3178.88037109375,4253.673828125
121,"отправитьФорма отправляется, пожалуйста, подождите немного.",2003.5203857421875,1256.9490966796875,612.4732666015625,636.498291015625,369.1270751953125,401.57476806640625,518.0612182617188,507.3009948730469,566.62451171875
122,Не бойтесь!,9078.208984375,9143.0693359375,1214.5848388671875,1479.931884765625,1458.05859375,1005.9721069335938,1144.203125,1320.2840576171875,1381.262939453125
123,"Вообще, я поучаствовал во всех религиозных обрядах.",2911.279541015625,1704.969970703125,593.6144409179688,529.0045776367188,508.3347473144531,637.6593017578125,385.7015380859375,299.1639099121094,327.830810546875
124,Моя мама объяснила магию этой машины в самый первый день.,2585.751220703125,935.541015625,839.0816040039062,728.5257568359375,628.7391967773438,609.81787109375,606.1091918945312,574.330078125,601.3712158203125
125,Третий Ангел вылил чашу свою в реки и источники вод: и сделалась кровь.,5669.6865234375,3898.847900390625,2591.36376953125,1961.4664306640625,2084.3232421875,1268.100830078125,1121.6988525390625,1103.06396484375,1162.5582275390625
126,(Смех) Это конференция ошибок.,1339.896240234375,559.2775268554688,503.2278747558594,444.9245300292969,408.3466491699219,441.864990234375,417.5840148925781,753.7782592773438,491.57342529296875
127,В этом же пакете наоборот закончили вещание каналы — Malyatko TV и Galychyna ТV.,5911.36669921875,2725.13330078125,1645.1561279296875,1185.397705078125,1239.5140380859375,1952.866455078125,1136.976806640625,1117.805419921875,1043.987548828125
128,Мне пора.,1094.067626953125,489.1554870605469,356.9057922363281,513.732421875,719.599853515625,477.45318603515625,671.2706909179688,615.709228515625,973.1659545898438
